title,type,question,A,B,C,D,answer,image
BAB 10.1 Malaysia dlm Isu Global Kontemporari,radio,"Bagaimanakah isu tuntutan bertindih terhadap Pulau Spratly antara Malaysia, China, Vietnam, Brunei, Taiwan dan Filipina diselesaikan?",Mewujudkan Zon Ekonomi Ekslusif,Membincangkan dalam Forum ASEAN_China,Menempatkan pangkalan Tentera Laut Diraja Malaysia,Membawa kes ke Mahkamah Keadilan Antarabangsa,B,
,radio,"Apakah sumbangan rakyat Malaysia dalam isu global kontemporari melalui pertubuhan berikut?
Cinta Gaza Malaysia (CGM), Malaysian Medical Relief Society (MERCY)",Mempromosi kelestarian global,Menangani kemelesetan ekonomi,Membanteras pemerdagangan manusia,Memperjuang isu kemanusiaan,D,
,radio,Apakah kesan isu pemanasan global terhadap Malaysia?,Menambah hasil pertanian,Menggalakkan penebangan hutan,Menyebabkan bencana alam seperti banjir dan kemarau,Meningkatkan tahap pendidikan,C,
,radio,Malaysia mengambil bahagian dalam Sidang Kemuncak Bumi bagi tujuan,Membina hubungan diplomatik ketenteraan,,Mengurangkan penglibatan dalam isu iklim,Membincangkan isu kelestarian alam sekitar,D,
,radio,Malaysia berdepan dengan kempen anti-minyak sawit oleh negara Barat. Apakah tindakan kerajaan Malaysia?,Mengurangkan eksport sawit ke luar negara,Mengharamkan penggunaan produk sawit,Mewujudkan pensijilan Minyak Sawit Mampan Malaysia (MSPO),Menggalakkan penggunaan minyak kelapa,C,
,radio,Mengapakah Malaysia membawa isu Pulau Sipadan dan Ligitan ke Mahkamah Keadilan Antarabangsa (ICJ)?,Mengelakkan konflik dan menyelesaikan tuntutan secara sah,Meningkatkan hubungan perdagangan,Menunjukkan kekuatan ketenteraan,Menarik pelancong antarabangsa,A,
,radio,Apakah langkah yang diambil Malaysia untuk mengekalkan keselamatan sempadan di Laut China Selatan?,Menyerang negara jiran,Menyertai dialog ASEAN-China mengenai Spratly,Menutup ruang udara antarabangsa,Membina empangan di sempadan laut,B,
,radio,Mengapakah kempen anti-minyak sawit dianggap sebagai cabaran besar kepada Malaysia?,Menjejaskan pendapatan petani dan ekonomi negara,Menghapuskan tenaga kerja asing,Menggalakkan pembukaan sekolah baharu,Menurunkan harga getah dunia,A,
,radio,Malaysia menyokong isu alam sekitar melalui penyertaan dalam,Perhimpunan Agung Kesihatan Sedunia,Konvensyen Perubahan Iklim Pertubuhan Bangsa-Bangsa Bersatu (UNFCCC),Pertubuhan Negara-negara Pengeksport Minyak,Majlis Keselamatan PBB,B,
,radio,Apakah kepentingan Malaysia menyelesaikan isu tuntutan wilayah secara diplomasi?,Meningkatkan pelaburan ketenteraan,Mengukuhkan hubungan serantau dan mengekalkan keamanan,Menyokong pengambilan tanah negara jiran,Menghapuskan organisasi antarabangsa,B,
,radio,Bagaimanakah Malaysia mengatasi isu kempen antiminyak sawit?,Persidangan ASEAN-China,Penubuhan Global Peace Mission,Penggunaan Mahkamah Antarabangsa,Pelaksanaan Good Agricultural Practices(GAP),D,
,radio,Mengapakah Malaysia menjadi lokasi transit bagi pemerdagangan org ke negara lain?,Kerjasama penduduk tempatan,Kelonggaran syarat imigresen,Kemasukan pelancong asing,Kedudukan Strategik,D,
,radio,Apakah matlamat penubuhan Komuniti ASEAN tersebut,Pertumbuhan ekonomi,Kemahiran tenaga kerja,Penetapan nilai mata wang,keselamatan sempadan negara,A,
,radio,Apakah isu global yg dihadapi oleh Malaysia?,Pemerdagangan org & Kelestarian alam sekitar,Pemerdagangan org & Kempen antiminyak sawit,Kelestarian alam sekitar & Pemalsuan mata wang,Pemalsuan mata wang & Kempen antiminyak sawit,B,
,radio,Negara yg terlibat dlm pertikaian perebutan Kepulauan Spratly yg berpotensi utk mencetuskan ketidakstabilan di rantau Asia Tenggara.,"India, China, Australia, Malaysia","China, Thailand, India, Indonesia","Australia, New Zealand, China, Thailand","China, Vietnam, Brunei, Filipina, Malaysia",D,
,radio,Mengapakah Malaysia menjadi lokasi transit bagi pemerdagangan org ?,kemakmuran negara,Kelonggaran syarat imigresen,kemajuan pelancongan,ketiadaan undang-undang,A,
